run,notebook_total_min,  bmp_to_fits,  load,  fit,  movie,serial_min,parallel_min,speedup_vs_notebook
postspie,90.3,11.1,17.1,0.83,61.0,4.6,19.9,4.54
postspiegenie,119.5,14.8,9.0,1.08,94.0,9.1,29.8,4.01
