run_key,frame_num,filename,mu_x,mu_y,fwhm_x,fwhm_y,failure_mode
allmetal,17,allmetal0017 26-02-13 16-52-54.fits,690.9197406491226,343.910294798243,11.863531925561588,1205.6678630496897,sigma_railed_to_bound
allmetal,18,allmetal0018 26-02-13 16-53-53.fits,690.9414610306952,410.3646588480064,10.959574855258662,1205.667863055844,sigma_railed_to_bound
allmetal,21,allmetal0021 26-02-13 16-56-54.fits,690.4877725813135,453.33182106020496,11.250957270711316,1205.6678630558329,sigma_railed_to_bound
allmetal,25,allmetal0025 26-02-13 17-00-53.fits,690.0606723695123,407.6629024302573,12.606598636921388,1205.6678630558438,sigma_railed_to_bound
allmetal,26,allmetal0026 26-02-13 17-01-53.fits,690.4298885904338,452.32905005416336,11.910294365743733,1205.6678615033554,sigma_railed_to_bound
allmetal,29,allmetal0029 26-02-13 17-04-53.fits,690.1969990403045,442.5275395164298,11.430400238148732,1205.6678630558222,sigma_railed_to_bound
allmetal,31,allmetal0031 26-02-13 17-06-54.fits,689.3576324150366,438.4581010583323,11.377397238145118,1205.6678630558442,sigma_railed_to_bound
allmetal,32,allmetal0032 26-02-13 17-07-54.fits,689.2467026751427,396.0850006286324,12.675796464290592,1205.6678630229444,sigma_railed_to_bound
allmetal,33,allmetal0033 26-02-13 17-08-54.fits,688.9395264010564,393.5718252789719,11.818687620456648,1205.66785273445,sigma_railed_to_bound
allmetal,47,allmetal0047 26-02-13 17-22-53.fits,688.7330178467852,317.90638842824814,11.366410278483505,1205.6678583842356,sigma_railed_to_bound
allmetal,50,allmetal0050 26-02-13 17-25-53.fits,688.3779574746037,298.5929146552683,11.58447471114373,1205.6678629863793,sigma_railed_to_bound
allmetal,59,allmetal0059 26-02-13 17-34-53.fits,688.0981406941488,364.813339870425,11.633385239480752,1205.6678627452827,sigma_railed_to_bound
allmetal,66,allmetal0066 26-02-13 17-41-54.fits,687.8995790230961,341.7799460555464,9.359453556735566,1205.6678630179497,sigma_railed_to_bound
allmetal,69,allmetal0069 26-02-13 17-44-53.fits,687.7193714436575,304.4940943744832,11.3697014252264,1205.6678630558458,sigma_railed_to_bound
allmetal,70,allmetal0070 26-02-13 17-45-53.fits,687.8696342797122,226.9456933062372,10.843261329069762,1205.667863052791,sigma_railed_to_bound
allmetal,71,allmetal0071 26-02-13 17-46-53.fits,687.8639875618114,310.4389092881429,11.63755232486635,1205.6678630558451,sigma_railed_to_bound
allmetal,74,allmetal0074 26-02-13 17-49-53.fits,687.8948169303453,391.0222079139556,11.53723771779891,1205.6678630558454,sigma_railed_to_bound
allmetal,79,allmetal0079 26-02-13 17-54-53.fits,687.2543858069855,384.4309545777951,10.103612995928437,1205.6678630558458,sigma_railed_to_bound
allmetal,85,allmetal0085 26-02-13 18-00-54.fits,687.2198148200596,242.444187220817,10.000611345371608,1205.6678630485817,sigma_railed_to_bound
allmetal,100,allmetal0100 26-02-13 18-15-53.fits,683.9852448383122,430.4698288888282,10.085163624427864,1205.6678630543572,sigma_railed_to_bound
allmetal,110,allmetal0110 26-02-13 18-25-53.fits,683.8561157326641,312.7477231580365,10.315539557834247,1139.8270624252368,fwhm_over_max
