run_key,source_path,bytes,sha256_16
20251027_data__night5237,E:/Reverse Telescope Test Data\20251027_data\night5237\night5237_frames.csv,2366962,cf8495f9052ec6ae
20251027_data__overnight,E:/Reverse Telescope Test Data\20251027_data\overnight\overnight_frames.csv,275797,432d46817e578342
20251029_data__longweekend,E:/Reverse Telescope Test Data\20251029_data\longweekend\longweekend_frames.csv,1815064,1f9a379bfa5bf263
20251029_data__newcomp,E:/Reverse Telescope Test Data\20251029_data\newcomp\newcomp_frames.csv,2422785,9c4e9ccd8be57f9f
20251105_data__overnight,E:/Reverse Telescope Test Data\20251105_data\overnight\overnight_frames.csv,279806,142cf5912520f766
20251106_data__laser,E:/Reverse Telescope Test Data\20251106_data\laser\laser_frames.csv,1286697,4a6aa8b96f521a8a
20251107_data__laserdaytest,E:/Reverse Telescope Test Data\20251107_data\laserdaytest\laserdaytest_frames.csv,53446,8cfd6a21cbc65914
20251107_data__laserweekend,E:/Reverse Telescope Test Data\20251107_data\laserweekend\laserweekend_frames.csv,1035943,0d0368dcd4cde8c5
20251114_data__fansoff,E:/Reverse Telescope Test Data\20251114_data\fansoff\fansoff_frames.csv,1016103,6ba353df79277d73
20251117_data__lasersimultaneous,E:/Reverse Telescope Test Data\20251117_data\lasersimultaneous\lasersimultaneous_frames.csv,262967,dc93fd721ed2dbf0
20251118_data__lasermirror,E:/Reverse Telescope Test Data\20251118_data\lasermirror\lasermirror_frames.csv,704173,85c1120c8194bfa1
20251120_data__pumpsoff,E:/Reverse Telescope Test Data\20251120_data\pumpsoff\pumpsoff_frames.csv,1432956,33496b63f7e42cd6
20251124_data__prethanksgiving,E:/Reverse Telescope Test Data\20251124_data\prethanksgiving\prethanksgiving_frames.csv,283933,1a73dbe4874e4c2e
20251125_data__thanksgiving,E:/Reverse Telescope Test Data\20251125_data\thanksgiving\thanksgiving_frames.csv,2228904,bfdb324bccb33543
20251201_data__snowday,E:/Reverse Telescope Test Data\20251201_data\snowday\snowday_frames.csv,624979,c6ef0f6958e3295d
20251205_data__lowhumidity,E:/Reverse Telescope Test Data\20251205_data\lowhumidity\lowhumidity_frames.csv,1856389,85e40cb2d68e62e8
20251210_data__frosty,E:/Reverse Telescope Test Data\20251210_data\frosty\frosty_frames.csv,1746623,b07e88a5da18eef0
20251217_data__warming,E:/Reverse Telescope Test Data\20251217_data\warming\warming_frames.csv,1322422,9726bce2d2a4af00
20251223_data__realwinterbreak,E:/Reverse Telescope Test Data\20251223_data\realwinterbreak\realwinterbreak_frames.csv,4883947,7fb4757f89ef5078
20260105_data__postwinterbreak,E:/Reverse Telescope Test Data\20260105_data\postwinterbreak\postwinterbreak_frames.csv,2909280,8b13c9603d9d4435
20260130_data__newsecondary,E:/Reverse Telescope Test Data\20260130_data\newsecondary\newsecondary_frames.csv,1040991,9ef700c5540a75ce
20260206_data__replacedprimary,E:/Reverse Telescope Test Data\20260206_data\replacedprimary\replacedprimary_frames.csv,1494218,989e18a71c4c45d1
20260213_data__allmetal,E:/Reverse Telescope Test Data\20260213_data\allmetal\allmetal_frames.csv,996183,762c8e616a25bf64
20260217_data__morewarming,E:/Reverse Telescope Test Data\20260217_data\morewarming\morewarming_frames.csv,790210,aedcb8e48f794a51
20260219_data__hotandcold,E:/Reverse Telescope Test Data\20260219_data\hotandcold\hotandcold_frames.csv,4045590,79e40f5a063ba2ab
20260302_data__genieshots,E:/Reverse Telescope Test Data\20260302_data\genieshots\genieshots_frames.csv,646465,c6930b99ef2103e5
20260302_data__secondarylaser,E:/Reverse Telescope Test Data\20260302_data\secondarylaser\secondarylaser_frames.csv,666348,650e8a25ecb8331e
20260306_data__springbreak,E:/Reverse Telescope Test Data\20260306_data\springbreak\springbreak_frames.csv,3651718,bf9c730448401ada
20260306_data__springgenie,E:/Reverse Telescope Test Data\20260306_data\springgenie\springgenie_frames.csv,3702529,cfdab9b4d79fcc6d
20260320_data__statictest,E:/Reverse Telescope Test Data\20260320_data\statictest\statictest_frames.csv,1453546,b9fefc6ccab222a7
20260320_data__statictestgenie,E:/Reverse Telescope Test Data\20260320_data\statictestgenie\statictestgenie_frames.csv,1500362,1009dbdfaa90f93c
20260415_data__zoeystatic,E:/Reverse Telescope Test Data\20260415_data\zoeystatic\zoeystatic_frames.csv,1872408,d0d180d18f6ecd28
20260415_data__zoeystaticgenie,E:/Reverse Telescope Test Data\20260415_data\zoeystaticgenie\zoeystaticgenie_frames.csv,1885957,bc598ecc71c5cad3
20260420_data__zoeysecondary,E:/Reverse Telescope Test Data\20260420_data\zoeysecondary\zoeysecondary_frames.csv,2648308,1dc67578de7e080a
20260420_data__zoeysecondarygenie,E:/Reverse Telescope Test Data\20260420_data\zoeysecondarygenie\zoeysecondarygenie_frames.csv,2697590,3e70784e9865f36f
20260529_data__newprimary,E:/Reverse Telescope Test Data\20260529_data\newprimary\newprimary_frames.csv,2134169,228f0b2dabe9e757
20260604_data__newprimaryagain,E:/Reverse Telescope Test Data\20260604_data\newprimaryagain\newprimaryagain_frames.csv,1890166,c8ac34e6219095b7
20260624_data__bridgetstatic,E:/Reverse Telescope Test Data\20260624_data\bridgetstatic\bridgetstatic_frames.csv,1765380,ee6a60df63e7fd67
20260624_data__bridgetstaticgenie,E:/Reverse Telescope Test Data\20260624_data\bridgetstaticgenie\bridgetstaticgenie_frames.csv,1588631,85717eb707b11e10
20260814__postspie,E:/Reverse Telescope Test Data\20260814\postspie\postspie_frames.csv,1447799,e565b6e3ed065529
20260814__postspiegenie,E:/Reverse Telescope Test Data\20260814\postspiegenie\postspiegenie_frames.csv,1496053,93b867fda52ed26a
20260814_data__postspie,E:/Reverse Telescope Test Data\20260814_data\postspie\postspie_frames.csv,1462024,23c11d2acd03e74c
20260814_data__postspiegenie,E:/Reverse Telescope Test Data\20260814_data\postspiegenie\postspiegenie_frames.csv,1509666,9422bbe474afcddf
