frame_num,filename,timestamp,mu_x,mu_y,sigma_x,sigma_y,fwhm_x,fwhm_y,amp_x,amp_y,offset_x,offset_y,fit_ok,n_peaks_x,n_peaks_y
1,longweekend0001 25-10-29 16-33-56.fits,2025-10-29 16:33:56,882.6502955475743,626.4808833314536,5.136534283447321,4.947230724155508,12.095613892650436,11.64983807663437,2813.566226922733,2872.118113347837,18170.732662405746,24228.15103434064,True,1,1
2,longweekend0002 25-10-29 16-34-56.fits,2025-10-29 16:34:56,881.9516737399573,625.5407560257179,4.790119208658423,5.285113568250488,11.279868730636643,12.445491370781296,2973.6054869245627,2729.9875537798775,18176.441734646338,24234.870524688118,True,1,1
3,longweekend0003 25-10-29 16-35-56.fits,2025-10-29 16:35:56,882.4337813885384,623.8303809023349,4.780185253458987,4.662267433007513,11.256476053806571,10.97880080654108,2746.6161907723495,2799.2763006674954,18170.491024772495,24227.485048098017,True,1,1
4,longweekend0004 25-10-29 16-36-56.fits,2025-10-29 16:36:56,884.2457933743137,623.0042125107675,4.498658903047643,5.127179121683766,10.593532160653531,12.073584170205109,2930.3959666572096,2644.638424441786,18173.471556671848,24230.508571982224,True,1,1
5,longweekend0005 25-10-29 16-37-56.fits,2025-10-29 16:37:56,884.2177445444122,622.5823202493826,4.729603472621881,5.585748658874715,11.137365062377993,13.153432908422921,3066.159395494987,2640.3539644081366,18174.484114573894,24232.13029983756,True,1,1
6,longweekend0006 25-10-29 16-38-56.fits,2025-10-29 16:38:56,884.0580549721298,624.2850578015251,4.370021523021146,4.918002049347404,10.290614279626872,11.581009807306554,2946.7432634134016,2673.886125738776,18173.53957300035,24230.816161158982,True,1,1
7,longweekend0007 25-10-29 16-39-56.fits,2025-10-29 16:39:56,884.2690468049052,625.6115044577258,4.606129008808484,4.646020949001173,10.846604919940756,10.940543260341675,2756.242854181606,2685.4772520339766,18167.11614036759,24223.278617935382,True,1,1
8,longweekend0008 25-10-29 16-40-56.fits,2025-10-29 16:40:56,885.5510015780136,626.5649896545325,4.694677379190165,5.478046872376103,11.055120397470363,12.899814582690345,3009.1323190975345,2648.5506149272373,18172.418187136005,24229.09301674776,True,1,1
9,longweekend0009 25-10-29 16-41-56.fits,2025-10-29 16:41:56,885.3795905184797,625.5508792915352,4.663277123540239,4.655674928849218,10.981178446046822,10.963276645602178,2759.577638883671,2713.5709105101464,18173.543134180956,24231.88208460244,True,1,1
10,longweekend0010 25-10-29 16-42-56.fits,2025-10-29 16:42:56,885.3329098034848,624.7098720940122,4.749835177809002,5.148464207767844,11.185007087297782,12.123706717576106,2858.5888555394713,2687.4770571765316,18166.879648547096,24221.966116735508,True,1,1
11,longweekend0011 25-10-29 16-43-55.fits,2025-10-29 16:43:55,886.2367112407281,625.4084096454424,4.444902945961986,5.313321587405555,10.466946555368404,12.511916179718263,2980.973112401298,2547.9606951900873,18170.67114627226,24226.959940923105,True,1,1
12,longweekend0012 25-10-29 16-44-56.fits,2025-10-29 16:44:56,886.3808464532357,624.1209272572769,4.696561108034711,5.144770127748082,11.059556239912903,12.11500782389762,2984.8149633092694,2702.081948320869,18169.123854838977,24225.742400174193,True,1,1
13,longweekend0013 25-10-29 16-45-56.fits,2025-10-29 16:45:56,886.8154702196987,624.7589425204243,4.69251699972373,4.960251818748125,11.050033092597928,11.680500411189307,2858.442635990193,2669.9604722907807,18172.776791479588,24230.723355457296,True,1,1
14,longweekend0014 25-10-29 16-46-56.fits,2025-10-29 16:46:56,886.8890704477952,624.1183760824548,5.1859716351119705,5.181179133001386,12.212029959323596,12.200744479287739,2804.1663206598237,2811.141742179839,18167.249244982075,24222.951572209928,True,1,1
15,longweekend0015 25-10-29 16-47-56.fits,2025-10-29 16:47:56,886.8936274152775,626.4408896045883,4.531265620771004,5.0541849440722455,10.670315113151167,11.90169601759495,2943.9632155811896,2614.0734170036326,18167.551800838603,24223.669500748754,True,1,1
16,longweekend0016 25-10-29 16-48-56.fits,2025-10-29 16:48:56,887.0479545617492,627.3335398303099,4.284803794784157,4.801599726096915,10.08994186498241,11.306903283228133,2887.8801276366694,2606.7960308257266,18166.2368640044,24221.350881246257,True,1,1
17,longweekend0017 25-10-29 16-49-56.fits,2025-10-29 16:49:56,886.7885674541103,626.5291797467713,4.51868590378592,5.323973280056937,10.640692143433878,12.536998999087247,2997.993841069963,2616.148210638759,18172.28982844804,24228.923267875864,True,1,1
18,longweekend0018 25-10-29 16-50-56.fits,2025-10-29 16:50:56,886.0706114785886,626.1620749279458,4.327297178346117,4.7939992507944735,10.190006136375304,11.28900553163418,3015.7034012143217,2699.5662138325993,18170.44680624852,24227.4882689268,True,1,1
19,longweekend0019 25-10-29 16-51-56.fits,2025-10-29 16:51:56,886.393687134732,626.067195999063,4.443075902894436,5.063881786973907,10.462644197729801,11.9245303376333,3018.8536492151447,2674.217071669201,18171.950378263205,24228.997868857117,True,1,1
20,longweekend0020 25-10-29 16-52-57.fits,2025-10-29 16:52:57,887.5494558184384,626.8884773615416,4.275724843744513,5.365578337255333,10.068562569086403,12.63497142175269,2995.477718084687,2502.1734142227147,18170.56719367756,24226.132493928973,True,1,1
21,longweekend0021 25-10-29 16-53-57.fits,2025-10-29 16:53:57,887.4761149400342,627.3850107913944,4.8847326469819645,5.329218385289286,11.502666351730218,12.54935027802668,2938.2489056341774,2639.8682815455873,18164.346541502422,24219.722220055122,True,1,1
22,longweekend0022 25-10-29 16-54-57.fits,2025-10-29 16:54:57,886.7609406357059,626.0124480128825,4.6549222978142994,4.989125525875711,10.961504334954638,11.7484927955077,2912.210452150802,2698.88845651907,18161.893039331295,24216.047513700774,True,1,1
23,longweekend0023 25-10-29 16-55-57.fits,2025-10-29 16:55:57,888.7671103102641,625.1529037815338,4.790868458129867,5.1991988384718795,11.281633078310728,12.24317764293521,2948.9147506911086,2754.405990776531,18162.28293748048,24215.97443113906,True,1,1
24,longweekend0024 25-10-29 16-56-56.fits,2025-10-29 16:56:56,888.1546407132093,626.26976102586,4.668975848251971,5.072659529442894,10.994597917229122,11.94520034154939,3034.351236324034,2723.8985339136398,18166.564258480164,24222.816574807923,True,1,1
25,longweekend0025 25-10-29 16-57-57.fits,2025-10-29 16:57:57,888.0935876837857,628.0196259049272,4.4349858037724,4.843988770602123,10.443593470150944,11.406721854918704,2885.604914929668,2668.2393446873625,18164.098832376545,24218.53252208295,True,1,1
26,longweekend0026 25-10-29 16-58-57.fits,2025-10-29 16:58:57,887.2376051421365,626.7644629773055,4.682385343620306,5.178213488896983,11.026174865716225,12.193760921104262,2962.556093611247,2632.2082374198176,18164.654050389145,24220.043596009717,True,1,1
27,longweekend0027 25-10-29 16-59-57.fits,2025-10-29 16:59:57,888.0918633711848,628.3013531447218,4.621686444921491,5.189874434476279,10.883239882348954,12.221220349498402,2906.5366878549144,2620.5732142890647,18168.501380426802,24224.318948051554,True,1,1
28,longweekend0028 25-10-29 17-00-57.fits,2025-10-29 17:00:57,888.1866516571579,628.9470137493984,4.847993352797532,4.934706644071722,11.416151925344428,11.620346121807499,2842.791690032413,2830.233212256547,18167.298163857133,24222.67875038505,True,1,1
