run_key,filename,runname,total frames,good frames,start time,stop time,notes,frame rate,frame interval (s),pixel scale (arcsec/px),x position (px),x pos std (px),y position (px),y pos std (px),FWHM x (px),FWHM x std (px),FWHM y (px),FWHM y std (px),x position (as),x pos std (as),y position (as),y pos std (as),FWHM x (as),FWHM x std (as),FWHM y (as),FWHM y std (as)
20250917_maxtest1,maxtest1,maxtest1,100,100,2025-09-17 08:57:00,2025-09-17 08:57:02,,0.0166666666666666,60.0,0.15,3.5786203106959245,1.5899677318176564,1.8799429654632016,12.512090851434753,12.181155842662555,0.1206282701990061,14.989390671580331,1.3095636005223583,0.5367930466043886,0.2384951597726484,0.2819914448194802,1.8768136277152128,1.8271733763993832,0.0180942405298509,2.2484086007370494,0.1964345400783538
20250917_maxtest2,maxtest2,maxtest2,287,287,2025-09-17 09:05:30,2025-09-17 09:05:40,,0.0166666666666666,60.0,0.15,-0.1646538605729486,1.8870533767301627,-9.845907792535348,13.662146120436391,12.504929667933174,0.4851625476754061,16.772351213440665,3.216863615195384,-0.0246980790859422,0.2830580065095244,-1.476886168880302,2.0493219180654587,1.875739450189976,0.0727743821513109,2.5158526820161,0.4825295422793075
20250917_minuteSecondly,minuteSecondly,minuteSecondly,61,61,2025-09-17 08:53:16,2025-09-17 08:54:16,,0.0166666666666666,60.0,0.15,-0.8466177608223139,1.634374973482032,-10.271739395793087,10.731734129695637,13.309029128942605,0.7913469887227511,14.871147099971028,1.432416527123347,-0.1269926641233471,0.2451562460223048,-1.5407609093689631,1.6097601194543454,1.9963543693413903,0.1187020483084126,2.230672064995654,0.214862479068502
20250917_morningsecondly,morningsecondly,morningsecondly,9999,9999,2025-09-17 09:06:49,2025-09-17 11:59:49,,0.0166666666666666,60.0,0.15,-0.7497120440170598,4.705262395651051,-43.05584084777772,22.123660393190256,13.32101057750376,1.4813327223280497,17.787971380516403,6.012910624623972,-0.1124568066025589,0.7057893593476576,-6.458376127166658,3.3185490589785385,1.998151586625564,0.2221999083492074,2.6681957070774605,0.9019365936935956
20250918_fanoff,fanoff,fanoff,9249,9249,2025-09-18 11:16:34,2025-09-18 11:19:34,,0.0166666666666666,60.0,0.15,-0.674184337490805,1.8652966050637865,-12.189019392441418,12.547835219963629,7.858511911425189,0.8671319214205406,10.848237163055272,1.701341030348433,-0.1011276506236207,0.2797944907595679,-1.8283529088662127,1.882175282994544,1.1787767867137782,0.1300697882130811,1.6272355744582907,0.2552011545522649
20250918_longrun,longrun,longrun,16821,16821,2025-09-18 11:21:50,2025-09-18 16:03:45,,0.0166666666666666,60.0,0.15,-43.30744115811267,33.95761137813984,-84.84001205592752,53.200247045428426,8.742268403745696,1.1769789228977925,12.55932274236426,2.884535711469981,-6.4961161737169,5.093641706720976,-12.726001808389126,7.980037056814264,1.3113402605618545,0.1765468384346688,1.8838984113546384,0.4326803567204971
20250918_nightvideo,nightvideo,nightvideo,9006,9006,2025-09-18 16:05:20,2025-09-18 16:08:20,,0.0166666666666666,60.0,0.15,-2.153384657889862,2.358482319520276,1.1975838210505532,11.723142736781815,7.640900562615609,0.8969567393413257,11.081560970162386,2.62638126737621,-0.3230076986834793,0.3537723479280414,0.1796375731575829,1.7584714105172723,1.1461350843923412,0.1345435109011988,1.662234145524358,0.3939571901064315
20250918_overnightvideo,overnightvideo,overnightvideo,1373,1373,2025-09-18 16:12:03,2025-09-19 15:04:20,,0.0166666666666666,60.0,0.15,35.25188216589179,24.98896059288237,34.29258792534426,41.60935766563888,7.505882384974588,0.8435601942942095,10.022106733500111,2.347017880258976,5.287782324883769,3.748344088932356,5.143888188801639,6.241403649845832,1.125882357746188,0.1265340291441314,1.503316010025017,0.3520526820388464
20250918_stability,stability,stability,4479,4479,2025-09-18 11:11:24,2025-09-18 11:14:24,,0.0166666666666666,60.0,0.15,-0.5921956403970358,1.757430685140297,-10.248759330178476,12.51379669980083,8.352131206213725,1.043279001375134,10.526607303146676,2.519546554054385,-0.0888293460595553,0.2636146027710445,-1.5373138995267714,1.8770695049701245,1.2528196809320586,0.15649185020627,1.5789910954720014,0.3779319831081578
20250919_weekend,weekend,weekend,3966,3966,2025-09-19 15:20:06,2025-09-22 09:26:18,,0.0166666666666666,60.0,0.15,-20.322179807448485,74.15720097306831,-75.74008940175335,108.95149593613634,6.948524257415066,2.4317142398615004,10.309997939684274,10.484414625927922,-3.0483269711172727,11.123580145960249,-11.361013410263002,16.34272439042045,1.0422786386122598,0.364757135979225,1.5464996909526412,1.5726621938891885
